Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite4,Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:23:20,5m - 25.452s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:18:20,24.817s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:17:55,2019-01-01 01:18:20,24.517s,PASSED
,,,,,,
Test Cases/case 4 - home,Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:23,3.346s,PASSED
"verifyElementVisible(findTestObject(""Page_Home - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:20,0.089s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:18:20,2019-01-01 01:18:23,3.023s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:18:23,2019-01-01 01:18:24,0.899s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:18:23,2019-01-01 01:18:24,0.770s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:18:24,2019-01-01 01:18:40,16.277s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:18:24,2019-01-01 01:18:40,16.263s,PASSED
,,,,,,
Test Cases/case 4 - about us,Chrome 71.0.3578.98,,2019-01-01 01:18:40,2019-01-01 01:19:14,33.889s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_About Us""))",Chrome 71.0.3578.98,,2019-01-01 01:18:40,2019-01-01 01:19:11,30.691s,PASSED
"verifyElementVisible(findTestObject(""Page_About Us - Qlue/p_Jalan Pejaten Barat No. 13 R""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:19:11,2019-01-01 01:19:11,0.047s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:19:11,2019-01-01 01:19:14,3.003s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:19:14,2019-01-01 01:19:15,0.742s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:19:14,2019-01-01 01:19:15,0.729s,PASSED
,,,,,,
