Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite2,Chrome 71.0.3578.98,,2019-01-01 01:00:28,2019-01-01 01:05:35,5m - 6.580s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:00:28,2019-01-01 01:00:47,18.280s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:00:29,2019-01-01 01:00:47,17.885s,PASSED
,,,,,,
Test Cases/case 2 - home,Chrome 71.0.3578.98,,2019-01-01 01:00:47,2019-01-01 01:00:54,7.614s,PASSED
"click(findTestObject(""Page_Home - Qlue/img""))",Chrome 71.0.3578.98,,2019-01-01 01:00:47,2019-01-01 01:00:48,0.683s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2019-01-01 01:00:48,2019-01-01 01:00:51,3.647s,PASSED
"verifyEqual(title, ""Home - Qlue"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:00:51,2019-01-01 01:00:51,0.031s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:00:51,2019-01-01 01:00:54,3.014s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:00:54,2019-01-01 01:00:55,0.885s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:00:54,2019-01-01 01:00:55,0.739s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:00:55,2019-01-01 01:01:15,20.218s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:00:55,2019-01-01 01:01:15,20.211s,PASSED
,,,,,,
Test Cases/case 2 - about us,Chrome 71.0.3578.98,,2019-01-01 01:01:15,2019-01-01 01:01:50,34.328s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_About Us""))",Chrome 71.0.3578.98,,2019-01-01 01:01:16,2019-01-01 01:01:47,31.138s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2019-01-01 01:01:47,2019-01-01 01:01:47,0.016s,PASSED
"verifyEqual(title, ""About Us - Qlue"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:01:47,2019-01-01 01:01:47,0.002s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:01:47,2019-01-01 01:01:50,3.001s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:01:50,2019-01-01 01:01:51,0.768s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:01:50,2019-01-01 01:01:50,0.747s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:01:51,2019-01-01 01:02:11,20.705s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:01:51,2019-01-01 01:02:11,20.695s,PASSED
,,,,,,
Test Cases/case 2 - projects (blog),Chrome 71.0.3578.98,,2019-01-01 01:02:11,2019-01-01 01:02:21,9.879s,PASSED
