Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"click(findTestObject(""Page_Home - Qlue/a_Blog""))",Chrome 71.0.3578.98,,2019-01-01 01:02:11,2019-01-01 01:02:18,6.673s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2019-01-01 01:02:18,2019-01-01 01:02:18,0.008s,PASSED
"verifyEqual(title, ""Blog - Qlue"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:02:18,2019-01-01 01:02:18,0.002s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:02:18,2019-01-01 01:02:21,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:02:21,2019-01-01 01:02:22,0.813s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:02:21,2019-01-01 01:02:22,0.749s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:02:22,2019-01-01 01:02:38,16.478s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:02:22,2019-01-01 01:02:38,16.465s,PASSED
,,,,,,
Test Cases/case 2 - city partners (partner),Chrome 71.0.3578.98,,2019-01-01 01:02:38,2019-01-01 01:03:05,26.872s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Partner""))",Chrome 71.0.3578.98,,2019-01-01 01:02:39,2019-01-01 01:03:02,23.595s,PASSED
"verifyElementVisible(findTestObject(""Page_Partner - Qlue/h4_City Partner""), STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:03:02,2019-01-01 01:03:02,0.083s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:03:02,2019-01-01 01:03:05,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:03:05,2019-01-01 01:03:06,0.744s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:03:05,2019-01-01 01:03:06,0.738s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:03:06,2019-01-01 01:03:25,19.261s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:03:06,2019-01-01 01:03:25,19.256s,PASSED
,,,,,,
Test Cases/case 2 - alliances (partner),Chrome 71.0.3578.98,,2019-01-01 01:03:25,2019-01-01 01:03:49,23.700s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Partner""))",Chrome 71.0.3578.98,,2019-01-01 01:03:26,2019-01-01 01:03:46,20.476s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2019-01-01 01:03:46,2019-01-01 01:03:46,0.007s,PASSED
"verifyEqual(title, ""Partner - Qlue"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:03:46,2019-01-01 01:03:46,0.001s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:03:46,2019-01-01 01:03:49,3.001s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:03:49,2019-01-01 01:04:12,22.997s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:03:49,2019-01-01 01:04:12,22.984s,PASSED
,,,,,,
Test Cases/case 1 - open web,Chrome 71.0.3578.98,,2019-01-01 01:04:12,2019-01-01 01:04:35,23.015s,PASSED
"openBrowser(""http://qlue.co.id"")",Chrome 71.0.3578.98,,2019-01-01 01:04:12,2019-01-01 01:04:35,23.010s,PASSED
,,,,,,
Test Cases/case 2 - were hiring (career),Chrome 71.0.3578.98,,2019-01-01 01:04:35,2019-01-01 01:05:34,58.842s,PASSED
"click(findTestObject(""Page_Home - Qlue/a_Were Hiring""))",Chrome 71.0.3578.98,,2019-01-01 01:04:35,2019-01-01 01:05:31,55.621s,PASSED
title = getWindowTitle(),Chrome 71.0.3578.98,,2019-01-01 01:05:31,2019-01-01 01:05:31,0.012s,PASSED
"verifyEqual(title, ""Career - Qlue"", STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2019-01-01 01:05:31,2019-01-01 01:05:31,0.001s,PASSED
delay(3),Chrome 71.0.3578.98,,2019-01-01 01:05:31,2019-01-01 01:05:34,3.002s,PASSED
,,,,,,
Test Cases/case 1 - close web,Chrome 71.0.3578.98,,2019-01-01 01:05:34,2019-01-01 01:05:35,0.799s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-01 01:05:34,2019-01-01 01:05:35,0.789s,PASSED
